split,date,feature_set,model,seed,auc,brier
1,2025-12-18,base_plus_regime,elastic_logistic_c1_l25,0,0.542720232747187,0.2407383837934708
1,2025-12-19,base_plus_regime,elastic_logistic_c1_l25,0,0.4486204467579603,0.24761190343946485
1,2025-12-22,base_plus_regime,elastic_logistic_c1_l25,0,0.4817647329015663,0.2540171770575256
1,2025-12-23,base_plus_regime,elastic_logistic_c1_l25,0,0.5674442190669371,0.25794393766287554
1,2025-12-24,base_plus_regime,elastic_logistic_c1_l25,0,0.5437200956937799,0.25313363751802065
1,2025-11-26,base_plus_regime,ridge_logistic_c01,0,0.6494514285714286,0.24410715285512496
1,2025-11-28,base_plus_regime,ridge_logistic_c01,0,0.6090330901974738,0.2470873867394777
1,2025-12-01,base_plus_regime,ridge_logistic_c01,0,0.5742633928571428,0.24742884727192585
1,2025-12-02,base_plus_regime,ridge_logistic_c01,0,0.5646257746525885,0.24800589539430784
1,2025-12-03,base_plus_regime,ridge_logistic_c01,0,0.5084755244755245,0.2488966752391976
1,2025-12-04,base_plus_regime,ridge_logistic_c01,0,0.5135941331824183,0.24663621195580995
1,2025-12-05,base_plus_regime,ridge_logistic_c01,0,0.5082846003898636,0.24813595850568002
1,2025-12-08,base_plus_regime,ridge_logistic_c01,0,0.47074641460234684,0.24791836677294848
1,2025-12-09,base_plus_regime,ridge_logistic_c01,0,0.48138853561046513,0.24882132061322237
1,2025-12-10,base_plus_regime,ridge_logistic_c01,0,0.5092145083337097,0.2523784795349537
1,2025-12-11,base_plus_regime,ridge_logistic_c01,0,0.48009879592466814,0.25583433495699437
1,2025-12-12,base_plus_regime,ridge_logistic_c01,0,0.4648503496503496,0.25298333184374533
1,2025-12-15,base_plus_regime,ridge_logistic_c01,0,0.5289028571428571,0.24680656134756637
1,2025-12-16,base_plus_regime,ridge_logistic_c01,0,0.45915452036221,0.24668511784191793
1,2025-12-17,base_plus_regime,ridge_logistic_c01,0,0.5575859086478399,0.24057614692209323
1,2025-12-18,base_plus_regime,ridge_logistic_c01,0,0.5426489253982516,0.24074863605481378
1,2025-12-19,base_plus_regime,ridge_logistic_c01,0,0.4490263732852589,0.2475948541813211
1,2025-12-22,base_plus_regime,ridge_logistic_c01,0,0.4820518120435442,0.2539944131300094
1,2025-12-23,base_plus_regime,ridge_logistic_c01,0,0.5676977687626775,0.2579428880119405
1,2025-12-24,base_plus_regime,ridge_logistic_c01,0,0.5438157894736841,0.25314105585038477
1,2025-11-26,base_plus_regime,tanh_mlp_16_8,442,0.5854514285714286,0.24472974641274908
1,2025-11-28,base_plus_regime,tanh_mlp_16_8,442,0.5579523216509518,0.24752240370361173
1,2025-12-01,base_plus_regime,tanh_mlp_16_8,442,0.5363839285714286,0.24917409127754822
1,2025-12-02,base_plus_regime,tanh_mlp_16_8,442,0.5666173410919124,0.24649610863217683
1,2025-12-03,base_plus_regime,tanh_mlp_16_8,442,0.5255832167832167,0.24895416731503445
1,2025-12-04,base_plus_regime,tanh_mlp_16_8,442,0.5335431993963403,0.2463322016241932
1,2025-12-05,base_plus_regime,tanh_mlp_16_8,442,0.49369871707693,0.24999341049895993
1,2025-12-08,base_plus_regime,tanh_mlp_16_8,442,0.49128096479791394,0.2492232760312651
1,2025-12-09,base_plus_regime,tanh_mlp_16_8,442,0.4776639716569767,0.2509904196087812
1,2025-12-10,base_plus_regime,tanh_mlp_16_8,442,0.48873029495460496,0.2554111575215671
1,2025-12-11,base_plus_regime,tanh_mlp_16_8,442,0.4854955233096635,0.2595179366620329
1,2025-12-12,base_plus_regime,tanh_mlp_16_8,442,0.5590825174825175,0.2498698097438
1,2025-12-15,base_plus_regime,tanh_mlp_16_8,442,0.5395657142857143,0.2469272067565001
1,2025-12-16,base_plus_regime,tanh_mlp_16_8,442,0.5009926880054234,0.2483334922865142
1,2025-12-17,base_plus_regime,tanh_mlp_16_8,442,0.5162207059404988,0.24406383609491353
1,2025-12-18,base_plus_regime,tanh_mlp_16_8,442,0.5480254995079793,0.24279285965544148
1,2025-12-19,base_plus_regime,tanh_mlp_16_8,442,0.42495731801955616,0.25370483720814635
1,2025-12-22,base_plus_regime,tanh_mlp_16_8,442,0.4822010931973726,0.25770174575846605
1,2025-12-23,base_plus_regime,tanh_mlp_16_8,442,0.49928689148073024,0.26436353416891756
1,2025-12-24,base_plus_regime,tanh_mlp_16_8,442,0.5217583732057416,0.25586206068233075
1,2025-11-26,base_plus_regime,tanh_mlp_16_8,2025,0.5823314285714286,0.24674268182312512
1,2025-11-28,base_plus_regime,tanh_mlp_16_8,2025,0.5451432129514322,0.24996430871585829
1,2025-12-01,base_plus_regime,tanh_mlp_16_8,2025,0.5273772321428571,0.2515580071576016
1,2025-12-02,base_plus_regime,tanh_mlp_16_8,2025,0.511654557794368,0.25132585467632024
1,2025-12-03,base_plus_regime,tanh_mlp_16_8,2025,0.5043356643356643,0.2501916953564297
1,2025-12-04,base_plus_regime,tanh_mlp_16_8,2025,0.4899193548387097,0.25045056007308314
1,2025-12-05,base_plus_regime,tanh_mlp_16_8,2025,0.5004873294346979,0.2500042817492585
1,2025-12-08,base_plus_regime,tanh_mlp_16_8,2025,0.5058204507357049,0.25053495056712566
1,2025-12-09,base_plus_regime,tanh_mlp_16_8,2025,0.48691860465116277,0.25237204384442935
1,2025-12-10,base_plus_regime,tanh_mlp_16_8,2025,0.46883328063598173,0.2557672870397145
1,2025-12-11,base_plus_regime,tanh_mlp_16_8,2025,0.4983883914788515,0.256873917586569
1,2025-12-12,base_plus_regime,tanh_mlp_16_8,2025,0.545488111888112,0.2504702037033544
1,2025-12-15,base_plus_regime,tanh_mlp_16_8,2025,0.4990628571428571,0.25063963884521817
1,2025-12-16,base_plus_regime,tanh_mlp_16_8,2025,0.48824512130163195,0.2522586644749698
1,2025-12-17,base_plus_regime,tanh_mlp_16_8,2025,0.5045236755035077,0.2479650022744576
1,2025-12-18,base_plus_regime,tanh_mlp_16_8,2025,0.5025314108872061,0.24860541608132772
1,2025-12-19,base_plus_regime,tanh_mlp_16_8,2025,0.4452894614310104,0.2549755577165483
1,2025-12-22,base_plus_regime,tanh_mlp_16_8,2025,0.5060056956501768,0.2549147480531698
1,2025-12-23,base_plus_regime,tanh_mlp_16_8,2025,0.5313292342799188,0.2595919835112376
1,2025-12-24,base_plus_regime,tanh_mlp_16_8,2025,0.5380382775119616,0.2540439289319879
1,2025-11-26,base_plus_regime,tanh_mlp_16_8,9001,0.62856,0.24226764194428044
1,2025-11-28,base_plus_regime,tanh_mlp_16_8,9001,0.5776107454189646,0.2470781226285315
1,2025-12-01,base_plus_regime,tanh_mlp_16_8,9001,0.5422767857142857,0.24990060806837144
1,2025-12-02,base_plus_regime,tanh_mlp_16_8,9001,0.5257512878425439,0.25055772532593307
1,2025-12-03,base_plus_regime,tanh_mlp_16_8,9001,0.4784111888111888,0.25483189830029007
1,2025-12-04,base_plus_regime,tanh_mlp_16_8,9001,0.48490850782871153,0.2520674214954685
1,2025-12-05,base_plus_regime,tanh_mlp_16_8,9001,0.4463144294845641,0.25665702039513777
