split,feature_set,model,seed,train_dates,test_dates,train_rows,test_rows,auc,brier,log_loss,ece_10,mean_excess_return,win_rate,mean_turnover,worst_net_return
2,graph_survivors,tanh_mlp_16_8,2025,290,20,174000,12000,0.4874810277133908,0.25328891465555403,0.6999251662452947,0.04634168466350743,-0.015400978240771905,0.5,0.825,-0.03964462033084504
2,graph_survivors,tanh_mlp_16_8,9001,290,20,174000,12000,0.48079143214350606,0.25425607621583596,0.7019776970512197,0.0561034461408176,0.006106456362034839,0.5,0.8999999999999999,-0.024788980278071356
3,base_only,elastic_logistic_c1_l25,0,310,20,186000,12000,0.42743499391850137,0.2512277033478879,0.6956321908815835,0.021520086525488542,-0.025521697640749803,0.25,0.925,-0.06946422436849231
3,base_only,ridge_logistic_c01,0,310,20,186000,12000,0.42727155180230736,0.25122015124023744,0.6956168363740197,0.02151771160584564,-0.025521697640749803,0.25,0.925,-0.06946422436849231
3,base_only,tanh_mlp_16_8,442,310,20,186000,12000,0.4161566470053079,0.25896031964671884,0.7112969185274187,0.10003934232149464,-0.02663871127866229,0.0,0.7999999999999999,-0.063372372639032
3,base_only,tanh_mlp_16_8,2025,310,20,186000,12000,0.441332899468467,0.2579614059925781,0.7095153971770763,0.08020174937092697,-0.023227920641961664,0.0,0.725,-0.04067962664585655
3,base_only,tanh_mlp_16_8,9001,310,20,186000,12000,0.44953527752743216,0.2567416781730816,0.706850726350461,0.08258694753587703,-0.02570172125728107,0.0,0.8500000000000001,-0.05423871579268448
3,base_plus_crowding,elastic_logistic_c1_l25,0,310,20,186000,12000,0.42712024661568165,0.25125769565250167,0.6956930479674023,0.022334519376276108,-0.020899786398182057,0.25,0.9,-0.06926274088623387
3,base_plus_crowding,ridge_logistic_c01,0,310,20,186000,12000,0.4270747821820568,0.2512559189151748,0.6956894296861433,0.02235295169871624,-0.020899786398182057,0.25,0.9,-0.06926274088623387
3,base_plus_crowding,tanh_mlp_16_8,442,310,20,186000,12000,0.42680712504476714,0.2570746025629957,0.7075380458312632,0.08427412967490966,-0.028076305651812298,0.0,0.85,-0.058800392393727766
3,base_plus_crowding,tanh_mlp_16_8,2025,310,20,186000,12000,0.4488606268166328,0.2567152341906402,0.7068659237073643,0.07867259656061332,-0.02193660056760981,0.0,0.8500000000000001,-0.05044630931469779
3,base_plus_crowding,tanh_mlp_16_8,9001,310,20,186000,12000,0.4258247905559776,0.2586140873586497,0.710592575170531,0.09407149037016806,-0.02171333236092675,0.0,0.85,-0.03849390566389278
3,base_plus_regime,elastic_logistic_c1_l25,0,310,20,186000,12000,0.4314125152037467,0.2511564706702575,0.6954905101622672,0.021416310523206417,-0.019474880489362568,0.0,0.975,-0.0570205649943958
3,base_plus_regime,ridge_logistic_c01,0,310,20,186000,12000,0.43138187856629173,0.2511492103897461,0.6954758827843365,0.02127805466636067,-0.019474880489362568,0.0,0.975,-0.0570205649943958
3,base_plus_regime,tanh_mlp_16_8,442,310,20,186000,12000,0.4271694109908839,0.2568520613681473,0.7070756925475441,0.08511056067619378,-0.048261715146358054,0.0,0.75,-0.06986849622022737
3,base_plus_regime,tanh_mlp_16_8,2025,310,20,186000,12000,0.45231432607007704,0.256619957406128,0.7067329819530312,0.07314235787121638,-0.02518032858372532,0.25,0.85,-0.050351805214169224
3,base_plus_regime,tanh_mlp_16_8,9001,310,20,186000,12000,0.4290248476023496,0.2583747008272882,0.7101040707295797,0.09930502980855337,-0.023276233691838448,0.0,0.8,-0.04117613528250655
3,graph_survivors,elastic_logistic_c1_l25,0,310,20,186000,12000,0.4294550779301596,0.25130960454287476,0.69580087224582,0.01990363541728431,-0.020794530847361856,0.0,1.0,-0.04759393222981849
3,graph_survivors,ridge_logistic_c01,0,310,20,186000,12000,0.42932022627160893,0.25130220217434257,0.6957858918994446,0.019769136730941946,-0.01939791287487482,0.0,1.0,-0.04759393222981849
3,graph_survivors,tanh_mlp_16_8,442,310,20,186000,12000,0.4455793672645819,0.2575179023227504,0.7086015695082424,0.08456050123947866,-0.024066508379723,0.0,0.875,-0.03527907775856126
3,graph_survivors,tanh_mlp_16_8,2025,310,20,186000,12000,0.4513796423440262,0.2582902190505209,0.7100742312953034,0.08734153131738194,-0.025241331628173325,0.0,0.8,-0.037215975457426116
3,graph_survivors,tanh_mlp_16_8,9001,310,20,186000,12000,0.4508586232982686,0.25730945037811054,0.7082287518842046,0.07105144043017061,-0.024060397629031227,0.0,0.8999999999999999,-0.04070443241223802
4,base_only,elastic_logistic_c1_l25,0,330,20,198000,12000,0.4963989244227356,0.25942090559379705,0.7120224935615977,0.17656625594830902,0.018587718774495485,0.75,0.95,-0.010205220133862242
4,base_only,ridge_logistic_c01,0,330,20,198000,12000,0.49629649545246124,0.25942251051250936,0.7120258105047332,0.17655624862151847,0.018587718774495485,0.75,0.95,-0.010205220133862242
4,base_only,tanh_mlp_16_8,442,330,20,198000,12000,0.48548978236005663,0.26196566377078995,0.717408524944771,0.1774754475422328,9.26383848013565e-05,0.5,0.6749999999999999,-0.08264269921388714
